Local Authority territorial CO2 emissions estimates 2005-2019 (kt CO2) - Full dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Country,Second Tier Authority,Local Authority,Code,Year,Industry Electricity,Industry Gas ,Industry 'Other Fuels',Large Industrial Installations,Agriculture,Industry Total,Commercial Electricity,Commercial Gas ,Commercial 'Other Fuels',Commercial Total,Public Sector Electricity,Public Sector Gas ,Public Sector 'Other Fuels',Public Sector Total,Domestic Electricity,Domestic Gas,Domestic 'Other Fuels',Domestic Total,Road Transport (A roads),Road Transport (Motorways),Road Transport (Minor roads),Diesel Railways,Transport Other,Transport Total,Net Emissions: Forest land,Net Emissions: Cropland,Net Emissions: Grassland,Net Emissions: Wetlands,Net Emissions: Settlements,Net Emissions: Harvested Wood Products,LULUCF Net Emissions,Grand Total,"Population                                              ('000s, mid-year estimate)",Per Capita Emissions (t),Area (km2),Emissions per km2 (kt)
South East,Slough,Slough,E06000039,2019,100.6,28.0,27.5,15.4,0.3,171.8,117.8,23.5,0.2,141.5,19.8,9.6,0.1,29.5,41.0,115.3,2.7,159.0,33.8,98.5,50.2,10.8,0.8,194.1,-3.6,1.0,-1.5,0.0,0.8,0.0,-3.3,692.6,149.5,4.6,32.5,21.3
South East,Southampton,Southampton,E06000045,2019,26.4,25.0,31.9,0.4,0.4,84.0,60.2,32.1,0.3,92.6,19.3,43.8,0.1,63.2,79.5,169.9,8.4,257.8,80.6,20.8,124.5,0.7,4.6,231.2,-7.3,1.6,-2.1,0.0,1.7,0.0,-6.1,722.6,252.5,2.9,56.4,12.8
South East,Surrey,Elmbridge,E07000207,2019,12.0,4.6,10.1,0.0,1.4,28.1,35.0,37.1,0.3,72.4,5.4,11.3,0.0,16.7,58.2,183.8,6.1,248.1,128.6,61.6,87.7,1.2,6.0,285.2,-7.7,2.4,-4.8,0.0,2.4,0.0,-7.7,642.8,136.8,4.7,96.3,6.7
South East,Surrey,Epsom and Ewell,E07000208,2019,2.6,0.3,2.0,0.1,0.5,5.4,12.8,7.4,0.1,20.3,3.8,7.0,0.0,10.8,27.0,93.1,2.7,122.7,24.1,0.0,47.2,6.2,0.4,77.9,-1.6,0.7,-1.4,0.0,0.7,0.0,-1.6,235.6,80.6,2.9,34.1,6.9
South East,Surrey,Guildford,E07000209,2019,15.4,3.9,14.0,0.0,4.3,37.6,44.7,29.6,0.6,75.0,10.2,22.9,0.3,33.4,52.3,156.3,12.0,220.6,259.6,34.8,100.1,4.3,3.0,401.8,-58.8,7.2,-13.0,0.0,7.1,0.0,-57.5,710.8,149.0,4.8,270.9,2.6
South East,Surrey,Mole Valley,E07000210,2019,21.6,20.8,11.0,8.4,5.5,67.2,25.3,15.1,0.4,40.9,5.2,6.0,0.1,11.3,36.1,110.6,10.4,157.1,74.2,105.3,71.0,4.0,1.3,255.7,-50.8,6.3,-13.2,0.0,6.6,0.0,-51.0,481.1,87.2,5.5,258.3,1.9
South East,Surrey,Reigate and Banstead,E07000211,2019,20.2,12.1,28.2,0.1,2.4,63.0,41.1,16.0,0.3,57.3,11.8,11.4,0.1,23.3,53.3,175.1,7.7,236.1,75.1,160.0,97.3,2.6,1.8,336.7,-10.9,3.0,-6.5,0.0,3.1,0.0,-11.4,705.0,148.7,4.7,129.1,5.5
South East,Surrey,Runnymede,E07000212,2019,8.9,1.4,10.6,1.4,0.7,23.1,34.8,21.0,0.5,56.3,8.6,22.9,0.0,31.4,32.1,90.1,4.9,127.2,48.9,227.4,58.2,5.8,5.4,345.6,-5.2,2.1,-3.8,0.0,1.9,0.0,-5.0,578.6,89.4,6.5,78.0,7.4
South East,Surrey,Spelthorne,E07000213,2019,11.8,2.5,10.5,0.0,0.4,25.2,26.2,16.1,0.1,42.4,4.3,4.7,0.0,9.0,35.0,102.5,3.8,141.3,42.3,71.6,52.4,0.0,8.5,174.8,-2.6,1.3,-2.6,0.0,1.3,0.0,-2.6,390.1,99.8,3.9,51.2,7.6
South East,Surrey,Surrey Heath,E07000214,2019,10.1,2.2,42.3,0.0,0.9,55.6,29.2,18.2,0.4,47.8,4.7,11.1,0.0,15.9,33.1,109.9,4.0,147.0,69.0,126.9,65.9,0.5,1.5,263.7,-15.1,5.2,2.8,0.0,2.7,0.0,-4.3,525.7,89.3,5.9,95.1,5.5
South East,Surrey,Tandridge,E07000215,2019,6.3,1.4,10.1,0.0,6.8,24.5,17.5,13.4,0.5,31.4,4.0,6.6,0.1,10.7,35.6,106.3,11.1,153.1,44.4,233.8,80.7,9.7,1.7,370.4,-25.2,5.8,-12.4,0.0,5.9,0.0,-26.0,564.2,88.1,6.4,248.2,2.3
South East,Surrey,Waverley,E07000216,2019,10.2,3.5,12.0,0.0,6.3,32.1,22.4,21.9,0.5,44.8,5.0,11.1,0.2,16.3,51.7,155.0,16.1,222.9,123.6,0.0,123.7,0.3,1.5,249.2,-63.4,8.1,-15.7,0.0,8.2,0.0,-62.8,502.5,126.3,4.0,345.2,1.5
South East,Surrey,Woking,E07000217,2019,31.4,5.3,8.5,0.3,0.7,46.3,48.7,17.0,0.3,66.0,7.5,5.6,0.0,13.2,37.6,108.3,5.5,151.4,35.5,25.8,56.0,2.1,1.2,120.5,-11.0,2.0,-1.4,0.0,1.6,0.0,-8.8,388.6,100.8,3.9,63.6,6.1
South East,West Berkshire,West Berkshire,E06000037,2019,53.1,43.9,69.8,4.6,20.1,191.5,51.2,21.5,2.5,75.2,9.5,11.4,1.4,22.3,66.2,124.5,57.4,248.1,211.0,355.6,103.3,19.2,9.0,698.0,-76.0,23.1,-41.6,0.0,20.9,0.0,-73.6,"1,161.5",158.5,7.3,704.2,1.6
South East,West Sussex,Adur,E07000223,2019,8.2,2.2,7.5,0.0,1.1,19.1,8.0,7.3,0.0,15.4,1.5,2.8,0.0,4.3,21.5,56.1,3.3,81.0,54.3,0.0,26.4,0.0,13.0,93.7,-4.0,1.0,-2.4,0.0,1.3,0.0,-4.1,209.2,64.3,3.3,43.6,4.8
South East,West Sussex,Arun,E07000224,2019,13.9,4.7,31.3,0.0,5.7,55.6,25.1,27.9,0.6,53.6,4.9,9.8,0.1,14.8,58.2,158.5,11.2,227.9,103.8,0.0,92.5,0.1,1.1,197.6,-28.4,4.4,-10.4,0.0,5.9,0.0,-28.5,520.9,160.8,3.2,224.7,2.3
South East,West Sussex,Chichester,E07000225,2019,24.2,20.8,80.0,0.0,20.4,145.4,32.9,45.6,2.0,80.4,7.6,23.3,0.9,31.8,55.1,100.8,46.8,202.7,148.5,0.0,148.8,0.2,1.7,299.2,-128.7,17.5,-37.7,0.0,20.8,0.0,-128.1,631.5,121.1,5.2,812.4,0.8
South East,West Sussex,Crawley,E07000226,2019,42.5,5.5,47.8,0.4,0.5,96.8,51.2,35.0,0.6,86.8,9.3,8.3,0.1,17.7,33.2,96.9,3.1,133.1,56.7,79.5,53.5,0.1,57.3,247.1,-8.5,0.9,-2.0,0.0,1.0,0.0,-8.7,572.8,112.4,5.1,45.0,12.7
South East,West Sussex,Horsham,E07000227,2019,21.5,28.2,48.8,13.1,14.2,125.7,27.4,12.8,1.8,42.0,4.4,5.8,0.6,10.8,58.1,128.1,36.5,222.8,179.3,0.0,109.1,3.0,1.6,293.1,-72.4,10.7,-24.5,-0.1,12.5,0.0,-73.7,620.6,143.8,4.3,531.0,1.2
South East,West Sussex,Mid Sussex,E07000228,2019,18.0,13.5,31.7,19.3,8.1,90.6,27.1,17.9,1.3,46.3,6.7,11.0,0.5,18.2,55.6,147.2,21.9,224.7,167.0,0.7,117.7,0.6,2.7,288.9,-68.3,6.4,-15.8,0.0,7.6,0.0,-70.1,598.6,151.0,4.0,334.0,1.8
South East,West Sussex,Worthing,E07000229,2019,9.8,14.2,11.8,0.3,0.5,36.7,18.0,10.3,0.1,28.4,8.2,9.5,0.0,17.7,37.7,100.6,4.4,142.7,38.8,0.0,45.6,7.7,0.5,92.6,-3.4,0.7,-1.6,0.0,0.9,0.0,-3.4,314.7,110.6,2.8,33.8,9.3
South East,Windsor and Maidenhead,Windsor and Maidenhead,E06000040,2019,21.4,6.4,21.1,0.0,4.0,52.9,53.9,33.7,1.0,88.7,9.9,12.8,0.4,23.1,59.1,173.9,14.5,247.6,99.5,166.0,96.3,9.7,22.9,394.3,-25.5,7.0,-10.8,0.0,5.9,0.0,-23.5,783.1,151.4,5.2,198.4,3.9
South East,Wokingham,Wokingham,E06000041,2019,21.1,4.6,15.0,0.1,4.1,44.9,45.8,28.6,0.7,75.1,7.5,6.7,0.1,14.4,59.0,186.9,10.8,256.7,76.7,156.0,97.7,12.4,9.7,352.5,-18.3,5.9,-10.2,0.0,5.2,0.0,-17.4,726.2,171.1,4.2,179.0,4.1
South West,Bath and North East Somerset,Bath and North East Somerset,E06000022,2019,18.2,3.9,31.0,0.1,14.8,67.9,42.6,29.6,1.0,73.1,8.3,31.2,0.2,39.7,65.4,179.8,21.1,266.3,112.1,0.0,113.4,5.7,1.3,232.4,-19.0,10.4,-16.0,0.0,13.8,0.0,-10.8,668.7,193.3,3.5,351.1,1.9
South West,"Bristol, City of","Bristol, City of",E06000023,2019,59.0,22.3,42.6,4.8,1.3,130.1,133.2,70.7,0.8,204.6,39.0,64.3,0.5,103.8,139.1,391.0,15.4,545.5,133.1,82.5,269.7,5.3,3.6,494.1,-6.5,2.8,-4.4,0.0,5.2,0.0,-2.8,"1,475.5",463.4,3.2,235.4,6.3
South West,Cornwall,Cornwall,E06000052,2019,101.0,23.4,282.8,11.2,138.7,557.1,150.0,125.6,9.8,285.4,22.0,43.3,2.3,67.6,263.8,289.9,223.0,776.7,629.5,0.0,402.5,29.6,9.8,"1,071.3",-207.6,133.7,-168.9,-1.5,87.7,0.0,-156.6,"2,601.6",569.6,4.6,"3,612.1",0.7
South West,Devon,East Devon,E07000040,2019,15.4,2.3,36.8,0.0,31.8,86.2,30.3,12.9,2.0,45.2,4.3,5.9,0.5,10.7,55.8,114.4,36.1,206.4,153.0,63.3,84.6,6.8,8.7,316.3,-57.3,27.0,-41.7,0.0,29.4,0.0,-42.6,622.2,146.3,4.3,822.7,0.8
South West,Devon,Exeter,E07000041,2019,17.9,6.9,16.3,3.4,0.9,45.3,46.9,31.0,0.2,78.1,14.7,33.6,0.1,48.4,36.5,97.6,4.8,138.8,36.8,24.1,40.6,2.7,0.6,104.8,-5.6,1.3,-2.3,0.0,1.9,0.0,-4.7,410.7,131.4,3.1,47.9,8.6
South West,Devon,Mid Devon,E07000042,2019,19.3,21.6,36.3,5.8,40.3,123.3,18.0,11.3,1.1,30.4,1.7,5.2,0.4,7.3,32.4,44.6,33.2,110.2,87.3,108.1,75.4,3.3,2.4,276.5,-55.7,26.7,-41.3,0.0,31.2,0.0,-39.1,508.6,82.3,6.2,912.9,0.6
South West,Devon,North Devon,E07000043,2019,21.4,8.3,33.0,0.1,51.0,113.7,29.2,11.6,1.3,42.2,4.5,7.1,0.6,12.1,38.1,72.2,27.3,137.6,95.2,0.0,83.3,0.8,1.0,180.2,-66.4,30.4,-45.0,0.0,29.0,0.0,-52.2,433.6,97.1,4.5,"1,104.7",0.4
South West,Devon,South Hams,E07000044,2019,20.4,7.3,52.9,0.0,32.3,113.0,24.2,21.1,1.8,47.1,3.3,5.0,0.3,8.5,42.4,60.6,31.3,134.3,158.6,0.0,74.9,3.3,2.2,239.0,-48.8,24.5,-34.8,-6.3,29.6,0.0,-35.7,506.2,87.0,5.8,905.2,0.6
South West,Devon,Teignbridge,E07000045,2019,19.0,10.3,65.8,0.0,21.1,116.2,24.0,16.3,1.7,41.9,4.0,10.7,0.2,14.9,51.0,104.3,24.9,180.1,292.4,19.9,88.9,3.8,2.3,407.4,-61.5,16.9,-25.2,0.0,23.9,0.0,-45.8,714.8,134.2,5.3,680.1,1.1
South West,Devon,Torridge,E07000046,2019,9.7,1.4,24.3,0.1,44.4,79.9,15.4,3.0,1.1,19.5,1.7,1.9,0.4,4.0,28.3,34.3,34.3,96.9,49.5,0.0,75.1,0.1,0.7,125.4,-71.9,34.3,-53.5,0.0,23.4,0.0,-67.6,258.2,68.3,3.8,995.2,0.3
South West,Devon,West Devon,E07000047,2019,11.6,19.7,16.3,1.4,37.9,86.9,15.4,6.8,1.0,23.2,2.3,4.8,0.3,7.4,23.7,33.3,27.4,84.4,123.7,0.0,57.5,1.1,2.7,185.0,-90.1,26.1,-23.9,-2.2,36.8,0.0,-53.5,333.4,55.8,6.0,"1,164.7",0.3
South West,Dorset,"Bournemouth, Christchurch and Poole",E06000058,2019,50.7,19.9,62.0,6.4,1.7,140.7,99.7,59.3,0.7,159.7,23.6,32.5,0.6,56.7,134.3,371.8,10.0,516.0,182.7,0.0,231.9,1.6,14.0,430.2,-16.6,3.8,-7.8,0.0,5.1,0.0,-15.5,"1,287.8",395.3,3.3,173.9,7.4
South West,Dorset,Dorset,E06000059,2019,77.7,43.0,104.8,0.0,90.7,316.2,87.1,24.0,3.5,114.7,18.8,16.9,1.7,37.4,148.7,318.6,89.4,556.7,374.4,0.0,374.4,13.9,4.7,767.4,-148.6,77.3,-132.0,-0.1,73.3,0.0,-130.1,"1,662.3",378.5,4.4,"2,521.1",0.7
South West,Gloucestershire,Cheltenham,E07000078,2019,17.9,9.6,14.4,0.7,1.0,43.6,36.2,25.2,0.2,61.6,10.0,15.5,0.0,25.5,40.3,121.1,4.2,165.7,36.7,0.0,53.4,2.5,0.8,93.4,-1.6,1.5,-2.1,0.0,1.1,0.0,-1.1,388.7,116.3,3.3,46.6,8.3
South West,Gloucestershire,Cotswold,E07000079,2019,16.3,10.1,42.4,4.1,36.7,109.7,23.6,14.3,2.1,40.0,2.8,3.6,0.6,7.0,46.5,75.4,37.4,159.4,184.5,0.0,97.6,2.3,6.1,290.5,-56.1,34.7,-57.5,0.0,26.2,0.0,-52.7,553.9,89.9,6.2,"1,164.5",0.5
South West,Gloucestershire,Forest of Dean,E07000080,2019,30.1,50.3,33.6,3.7,16.6,134.2,17.6,7.8,1.0,26.4,4.0,4.1,0.7,8.8,35.2,54.4,39.9,129.6,51.9,32.8,83.5,11.6,0.9,180.7,-50.7,17.8,-23.9,0.0,16.0,0.0,-40.8,438.9,86.8,5.1,561.4,0.8
South West,Gloucestershire,Gloucester,E07000081,2019,27.4,14.9,24.9,0.3,0.6,68.1,33.1,54.9,0.2,88.2,12.0,32.8,0.1,44.8,41.1,115.7,5.8,162.6,57.9,0.1,55.3,2.8,4.6,120.6,-4.7,1.1,-1.9,0.0,1.1,0.0,-4.4,479.9,129.1,3.7,40.8,11.8
South West,Gloucestershire,Stroud,E07000082,2019,33.5,30.7,44.2,0.1,17.4,125.9,27.1,13.3,1.1,41.4,5.3,6.2,0.2,11.7,46.1,115.1,21.8,183.0,60.7,217.7,99.6,5.7,9.8,393.6,-43.0,11.9,-20.1,0.0,14.4,0.0,-36.8,718.8,120.0,6.0,476.2,1.5
South West,Gloucestershire,Tewkesbury,E07000083,2019,38.0,21.2,47.1,0.0,14.5,120.7,22.4,19.5,0.7,42.6,4.4,9.3,0.1,13.8,33.3,83.2,14.0,130.4,97.8,191.5,73.8,3.7,27.5,394.3,-15.8,12.5,-17.2,0.0,9.0,0.0,-11.4,690.4,95.0,7.3,415.0,1.7
South West,Isles of Scilly,Isles of Scilly,E06000053,2019,0.4,0.0,0.4,0.0,0.1,0.9,1.4,0.0,0.3,1.6,0.2,0.0,0.0,0.2,1.6,0.0,1.2,2.8,0.3,0.0,0.1,0.0,2.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,2.2,3.8,22.8,0.4
South West,North Somerset,North Somerset,E06000024,2019,31.8,75.3,54.2,3.3,15.8,180.3,42.8,31.0,1.1,74.9,9.7,13.2,0.5,23.5,73.0,199.7,21.1,293.7,94.5,260.8,183.6,5.9,17.0,561.9,-17.3,13.0,7.1,0.0,18.6,0.0,21.3,"1,155.6",215.1,5.4,390.7,3.0
South West,Plymouth,Plymouth,E06000026,2019,34.5,17.9,57.1,9.1,0.9,119.6,53.8,39.7,0.3,93.8,16.6,39.4,0.3,56.2,79.8,206.6,6.9,293.4,121.8,0.0,177.8,1.3,1.7,302.5,-5.3,2.1,-3.7,0.0,3.4,0.0,-3.6,861.9,262.1,3.3,84.4,10.2
South West,Somerset,Mendip,E07000187,2019,34.0,11.4,73.4,11.5,33.0,163.3,28.2,19.0,1.4,48.6,4.5,10.6,0.5,15.6,43.7,91.5,30.0,165.2,121.8,0.0,109.9,18.1,1.3,251.1,-39.2,34.6,30.4,108.6,25.8,0.0,160.2,803.9,115.6,7.0,739.4,1.1
South West,Somerset,Sedgemoor,E07000188,2019,41.0,27.3,73.9,0.0,25.1,167.2,31.4,17.5,1.4,50.3,6.2,8.7,0.3,15.2,46.2,81.3,35.7,163.3,94.7,225.1,103.3,4.5,2.4,430.0,-15.3,63.8,10.0,5.8,19.8,0.0,84.2,910.1,123.2,7.4,605.9,1.5
South West,Somerset,Somerset West and Taunton,E07000246,2019,25.0,4.0,30.8,0.0,43.8,103.7,30.3,15.8,1.5,47.5,7.2,12.7,0.4,20.2,58.1,111.0,40.1,209.2,101.8,123.0,183.8,4.1,5.4,418.2,-88.7,36.4,-55.5,0.0,35.7,0.0,-72.0,726.8,155.1,4.7,"1,210.5",0.6
South West,Somerset,South Somerset,E07000189,2019,44.2,30.5,92.0,4.9,39.4,211.0,32.7,22.3,1.8,56.8,5.8,20.1,0.6,26.6,68.5,110.7,56.8,236.1,234.3,0.0,125.1,17.6,1.9,379.0,-39.7,37.5,-26.5,0.0,30.4,0.0,1.6,911.0,168.3,5.4,959.1,0.9
South West,South Gloucestershire,South Gloucestershire,E06000025,2019,65.1,31.3,97.2,17.6,18.0,229.3,69.5,51.2,1.8,122.5,16.6,23.2,0.8,40.6,92.0,238.9,36.7,367.6,156.2,502.7,237.2,15.8,4.5,916.6,-27.7,14.5,-22.2,0.0,18.9,0.0,-16.5,"1,660.1",285.1,5.8,536.4,3.1
South West,Swindon,Swindon,E06000030,2019,47.6,41.4,40.6,0.3,6.6,136.6,80.5,43.7,0.7,124.9,13.4,18.9,0.4,32.6,71.6,207.1,7.6,286.3,131.1,115.2,186.4,2.5,7.8,443.0,-5.5,7.0,-11.5,0.0,5.7,0.0,-4.3,"1,019.0",222.2,4.6,230.1,4.4
South West,Torbay,Torbay,E06000027,2019,8.3,7.0,6.2,0.0,1.0,22.6,29.3,34.3,0.1,63.8,6.7,19.6,0.0,26.3,47.9,126.8,3.9,178.5,50.3,0.0,83.5,0.4,1.4,135.5,-4.2,1.8,-2.9,0.0,2.7,0.0,-2.7,424.1,136.3,3.1,119.5,3.6
South West,Wiltshire,Wiltshire,E06000054,2019,107.3,87.5,177.6,0.6,116.0,489.0,120.3,83.1,5.4,208.8,25.6,54.5,2.7,82.9,201.2,365.8,142.4,709.4,539.3,250.7,394.2,45.2,11.8,"1,241.2",-156.4,96.5,-188.4,0.0,103.9,0.0,-144.4,"2,586.9",500.0,5.2,"3,255.3",0.8
Wales,Wales,Blaenau Gwent,W06000019,2019,16.7,34.8,18.2,0.0,0.5,70.2,10.8,13.1,0.1,24.0,3.6,9.5,0.2,13.3,20.1,82.9,5.0,108.0,46.5,0.0,32.7,0.3,0.4,80.0,-8.5,3.4,-0.2,-0.1,1.8,0.0,-3.6,291.9,69.9,4.2,108.7,2.7
Wales,Wales,Bridgend,W06000013,2019,36.2,56.6,49.4,70.5,7.0,219.8,32.2,12.8,0.4,45.4,10.3,17.1,0.3,27.8,42.7,151.3,10.7,204.7,82.5,105.7,104.2,5.9,1.5,299.8,-16.4,9.2,-2.8,-0.1,4.8,0.0,-5.3,792.2,147.0,5.4,255.1,3.1
Wales,Wales,Caerphilly,W06000018,2019,43.2,31.8,55.6,2.5,6.3,139.4,26.2,13.1,0.3,39.7,8.4,8.6,0.5,17.5,52.2,194.4,20.6,267.3,102.8,0.0,137.4,4.1,1.3,245.6,-20.7,9.9,-3.2,0.0,5.9,0.0,-8.1,701.4,181.1,3.9,277.4,2.5
Wales,Wales,Cardiff,W06000015,2019,53.6,81.8,43.5,37.4,2.9,219.2,120.6,79.0,0.9,200.5,39.0,58.4,1.7,99.1,104.5,325.6,9.1,439.1,221.0,120.8,315.3,8.7,3.6,669.5,-8.1,5.8,-3.7,0.0,4.8,0.0,-1.3,"1,626.1",366.9,4.4,149.4,10.9
Wales,Wales,Carmarthenshire,W06000010,2019,45.5,31.8,49.6,50.4,116.1,293.5,55.2,9.7,1.9,66.8,12.5,12.5,0.8,25.7,64.1,127.4,150.5,342.0,243.6,19.0,152.7,4.6,2.2,422.0,-181.7,85.1,-38.1,-1.4,58.3,0.0,-77.7,"1,072.2",188.8,5.7,"2,438.8",0.4
Wales,Wales,Ceredigion,W06000008,2019,11.8,5.2,40.8,0.3,75.7,133.7,21.9,4.1,1.5,27.4,5.0,3.9,0.8,9.7,31.7,20.9,93.3,145.9,75.5,0.0,76.4,2.2,1.9,156.0,-117.5,55.3,28.5,-12.2,38.9,0.0,-6.9,465.7,72.7,6.4,"1,806.0",0.3
Wales,Wales,Conwy,W06000003,2019,10.7,2.1,15.7,0.0,21.9,50.5,25.8,14.6,0.6,41.1,5.3,8.9,0.5,14.7,40.5,107.9,32.2,180.6,186.5,0.0,75.3,3.3,1.3,266.5,-56.1,28.4,13.0,-9.9,24.8,0.0,0.2,553.5,117.2,4.7,"1,153.3",0.5
Wales,Wales,Denbighshire,W06000004,2019,17.0,4.9,41.5,0.0,23.9,87.3,18.5,11.9,0.6,31.1,5.2,12.4,0.4,18.0,33.9,78.4,41.5,153.9,126.1,0.0,56.4,2.2,7.3,192.0,-54.3,25.7,-5.5,-4.3,20.7,0.0,-17.7,464.5,95.7,4.9,846.4,0.5
Wales,Wales,Flintshire,W06000005,2019,119.6,113.0,93.0,574.5,16.3,916.3,43.7,42.3,1.1,87.1,10.1,7.9,0.3,18.3,50.2,132.8,66.3,249.4,254.9,0.0,112.6,3.4,6.7,377.6,-15.3,14.4,-11.1,0.0,12.7,0.0,0.6,"1,649.3",156.1,10.6,489.5,3.4
Wales,Wales,Gwynedd,W06000002,2019,23.8,4.2,55.1,0.0,50.6,133.6,28.9,13.5,2.7,45.1,7.7,13.5,0.9,22.0,51.1,68.4,93.8,213.3,189.2,0.0,66.9,4.1,5.8,266.0,-157.2,74.1,37.4,-24.3,53.6,0.0,-16.5,663.5,124.6,5.3,"2,623.0",0.3
Wales,Wales,Isle of Anglesey,W06000001,2019,10.8,4.5,24.5,0.0,36.7,76.5,17.1,11.6,1.0,29.7,2.9,6.9,0.4,10.2,30.3,35.7,60.7,126.7,84.8,0.0,47.2,2.0,0.7,134.7,-11.9,31.5,-17.0,-0.9,17.6,0.0,19.3,397.1,70.0,5.7,749.4,0.5
Wales,Wales,Merthyr Tydfil,W06000024,2019,10.4,15.0,18.3,0.0,1.2,44.8,10.5,12.7,0.1,23.3,4.4,9.3,0.1,13.8,17.1,70.1,5.5,92.8,58.7,0.0,23.5,2.7,0.5,85.3,-9.2,3.4,-0.2,-0.1,1.7,0.0,-4.4,255.6,60.3,4.2,112.0,2.3
Wales,Wales,Monmouthshire,W06000021,2019,19.7,31.5,33.2,0.1,35.3,119.9,23.4,10.8,0.9,35.1,6.4,7.2,0.4,13.9,33.6,77.0,43.1,153.6,156.6,84.4,81.0,5.2,8.7,336.0,-73.1,41.7,-27.4,0.0,23.1,0.0,-35.7,622.8,94.6,6.6,886.1,0.7
Wales,Wales,Neath Port Talbot,W06000012,2019,115.1,28.0,36.9,"6,311.5",7.9,"6,499.4",83.5,27.5,0.5,111.6,31.5,23.6,0.1,55.2,43.0,146.0,37.8,226.8,115.0,108.9,56.1,6.4,1.5,287.9,-35.3,16.1,-4.6,-0.4,8.8,0.0,-15.4,"7,165.5",143.3,50.0,451.9,15.9
Wales,Wales,Newport,W06000022,2019,53.2,104.3,41.8,40.9,6.5,246.7,59.4,31.4,0.5,91.3,23.5,25.6,0.2,49.3,46.3,145.9,19.0,211.2,88.8,205.0,135.8,6.2,2.1,437.8,-12.3,7.5,-6.0,0.0,4.9,0.0,-5.9,"1,030.5",154.7,6.7,217.5,4.7
Wales,Wales,Pembrokeshire,W06000009,2019,56.7,18.6,38.7,0.1,78.2,192.2,111.4,5.6,2.4,119.4,18.4,0.6,0.5,19.5,46.9,78.2,97.3,222.5,119.0,0.0,105.3,2.8,1.2,228.3,-93.2,75.9,-39.2,-0.2,31.2,0.0,-25.5,756.3,125.8,6.0,"1,651.2",0.5
Wales,Wales,Powys,W06000023,2019,29.3,11.5,62.8,8.8,133.2,245.5,33.0,10.2,1.9,45.1,4.7,6.8,0.9,12.4,53.0,66.9,141.3,261.2,201.0,0.0,127.8,2.1,13.6,344.5,-317.2,146.7,-3.0,-13.6,77.7,0.0,-109.4,799.4,132.4,6.0,"5,195.5",0.2
Wales,Wales,Rhondda Cynon Taf,W06000016,2019,43.4,27.6,57.3,6.6,8.0,143.0,30.7,41.8,0.3,72.8,10.3,35.6,0.3,46.2,69.3,266.8,18.9,355.0,207.2,66.8,153.8,8.6,2.3,438.8,-34.6,14.2,-0.6,-0.3,8.0,0.0,-13.3,"1,042.6",241.3,4.3,424.2,2.5
Wales,Wales,Swansea,W06000011,2019,32.3,52.5,21.7,6.0,11.7,124.2,60.1,44.9,0.9,106.0,20.1,42.8,0.2,63.1,73.2,246.6,49.4,369.3,107.9,82.1,173.3,2.9,10.3,376.5,-23.0,16.1,-10.4,-0.2,8.1,0.0,-9.5,"1,029.7",247.0,4.2,420.8,2.4
Wales,Wales,Torfaen,W06000020,2019,30.0,38.4,30.1,2.7,2.3,103.5,17.5,11.8,0.1,29.4,8.5,12.2,0.1,20.8,26.9,94.4,5.6,126.9,58.3,0.0,78.1,1.4,2.5,140.3,-8.6,4.8,-3.0,0.0,2.9,0.0,-3.9,417.0,94.0,4.4,126.2,3.3
Wales,Wales,Vale of Glamorgan,W06000014,2019,28.2,40.8,25.0,526.3,15.1,635.5,35.4,3.5,0.8,39.7,12.5,3.9,0.2,16.6,42.1,128.8,19.0,190.0,60.2,30.2,125.7,7.7,7.5,231.3,-13.7,14.0,-7.7,0.0,10.8,0.0,3.4,"1,116.4",133.6,8.4,339.8,3.3
Wales,Wales,Wrexham,W06000006,2019,71.1,207.1,40.9,10.4,18.4,348.0,49.7,20.3,0.5,70.5,19.2,16.3,0.2,35.6,43.3,116.9,39.2,199.4,137.5,0.0,89.1,2.1,11.0,239.7,-16.7,19.1,-9.9,-3.3,12.1,0.0,1.2,894.4,136.0,6.6,503.8,1.8
Scotland,Scotland,Aberdeen City,S12000033,2019,42.8,24.1,81.8,69.6,5.5,223.8,84.3,70.6,0.6,155.5,19.4,76.9,0.8,97.1,78.0,256.2,7.7,341.9,163.5,0.0,135.4,1.7,27.8,328.5,-13.9,32.2,-16.7,-0.1,6.5,0.0,8.0,"1,154.8",228.7,5.1,205.6,5.6
Scotland,Scotland,Aberdeenshire,S12000034,2019,60.5,27.6,117.0,1.3,171.2,377.6,66.3,28.4,2.8,97.5,10.8,9.4,1.1,21.4,112.0,201.3,169.0,482.4,379.1,0.0,244.2,5.5,3.2,632.0,-420.5,665.0,-304.6,-3.7,159.8,0.0,96.0,"1,706.9",261.2,6.5,"6,338.1",0.3
Scotland,Scotland,Angus,S12000041,2019,22.9,22.4,43.4,4.4,42.6,135.8,32.7,20.5,0.7,53.9,5.0,12.0,0.2,17.2,47.6,110.6,37.6,195.8,157.4,0.0,73.1,3.3,1.1,234.9,-112.8,223.1,-117.8,-2.0,51.2,0.0,41.6,679.2,116.2,5.8,"2,203.9",0.3
