Local Authority territorial CO2 emissions estimates 2005-2019 (kt CO2) - Full dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Country,Second Tier Authority,Local Authority,Code,Year,Industry Electricity,Industry Gas ,Industry 'Other Fuels',Large Industrial Installations,Agriculture,Industry Total,Commercial Electricity,Commercial Gas ,Commercial 'Other Fuels',Commercial Total,Public Sector Electricity,Public Sector Gas ,Public Sector 'Other Fuels',Public Sector Total,Domestic Electricity,Domestic Gas,Domestic 'Other Fuels',Domestic Total,Road Transport (A roads),Road Transport (Motorways),Road Transport (Minor roads),Diesel Railways,Transport Other,Transport Total,Net Emissions: Forest land,Net Emissions: Cropland,Net Emissions: Grassland,Net Emissions: Wetlands,Net Emissions: Settlements,Net Emissions: Harvested Wood Products,LULUCF Net Emissions,Grand Total,"Population                                              ('000s, mid-year estimate)",Per Capita Emissions (t),Area (km2),Emissions per km2 (kt)
East of England,Norfolk,Breckland,E07000143,2019,31.8,19.7,58.0,0.0,27.7,137.1,29.5,10.9,1.6,42.1,5.9,5.0,0.8,11.7,55.5,78.4,60.1,194.0,217.3,0.0,145.3,3.0,2.4,368.0,-166.4,167.7,49.5,0.7,16.8,0.0,68.1,820.9,140.0,5.9,"1,305.1",0.6
East of England,Norfolk,Broadland,E07000144,2019,22.8,24.1,51.0,77.6,12.7,188.2,21.9,14.0,1.4,37.3,5.3,7.3,0.3,12.9,48.3,112.4,32.9,193.5,133.0,0.0,95.0,1.6,34.1,263.7,-37.7,39.7,14.4,2.7,8.8,0.0,27.8,723.4,130.8,5.5,553.2,1.3
East of England,Norfolk,Great Yarmouth,E07000145,2019,12.3,3.4,13.9,0.0,4.3,33.9,22.0,11.2,0.9,34.1,4.1,8.9,0.2,13.3,36.3,70.9,24.0,131.2,58.8,0.0,54.8,0.4,25.5,139.5,-8.1,9.8,0.1,3.5,3.3,0.0,8.6,360.6,99.3,3.6,182.4,2.0
East of England,Norfolk,King's Lynn and West Norfolk,E07000146,2019,47.9,345.2,48.7,25.6,46.6,514.1,54.0,22.0,2.1,78.1,10.2,13.9,1.1,25.2,69.1,86.8,80.1,235.9,198.2,0.0,157.7,0.1,13.6,369.5,-88.7,734.9,17.0,-1.0,21.7,0.0,683.8,"1,906.8",151.4,12.6,"1,526.9",1.2
East of England,Norfolk,North Norfolk,E07000147,2019,21.1,22.8,41.6,0.0,23.0,108.5,29.9,9.7,1.8,41.4,4.5,5.0,0.5,10.0,50.6,65.3,59.4,175.3,73.7,0.0,111.1,1.0,31.7,217.6,-54.1,68.3,17.0,11.6,13.4,0.0,56.3,609.0,104.8,5.8,990.0,0.6
East of England,Norfolk,Norwich,E07000148,2019,23.8,16.2,18.8,0.1,0.4,59.1,41.2,26.8,0.3,68.3,9.5,24.7,0.1,34.4,41.8,123.4,6.0,171.2,52.6,0.0,51.2,2.9,11.4,118.0,-2.8,1.7,1.7,0.0,0.9,0.0,1.4,452.4,140.6,3.2,40.6,11.2
East of England,Norfolk,South Norfolk,E07000149,2019,25.4,5.7,72.1,0.1,22.4,125.7,25.3,20.0,2.0,47.3,8.1,24.0,1.2,33.3,56.6,81.8,63.5,202.0,243.4,0.0,125.6,4.4,34.8,408.2,-44.8,52.1,53.6,-0.6,12.0,0.0,72.3,888.8,140.9,6.3,908.9,1.0
East of England,Peterborough,Peterborough,E06000031,2019,38.9,12.7,47.9,0.7,9.8,110.1,74.5,43.8,0.7,119.1,13.3,25.6,0.1,39.0,60.3,181.6,14.2,256.1,255.7,0.3,164.4,5.9,10.1,436.5,-9.5,162.6,-4.9,-0.2,4.8,0.0,152.7,"1,113.6",202.3,5.5,343.4,3.2
East of England,Southend-on-Sea,Southend-on-Sea,E06000033,2019,13.8,3.8,10.4,4.1,0.3,32.5,35.5,19.4,0.2,55.1,9.9,16.1,0.3,26.3,60.7,195.8,2.8,259.3,51.9,0.0,84.9,12.2,3.9,152.9,-0.7,0.6,-1.5,0.0,0.9,0.0,-0.7,525.3,183.1,2.9,67.9,7.7
East of England,Suffolk,Babergh,E07000200,2019,26.4,15.2,46.0,0.0,12.5,100.2,14.1,16.6,1.1,31.8,2.0,5.5,0.6,8.1,37.8,63.5,35.2,136.6,169.4,0.0,61.5,0.7,1.2,232.8,-19.8,7.5,-18.6,0.0,6.9,0.0,-24.0,485.5,92.0,5.3,611.6,0.8
